Drug/Narc violations,White,111
Intimidation,White,4175
Stolen property offenses,Unknown,3
Murder/non-neg manslaughter,Unknown,6
Weapon law violations,Multi-Racial Group,1
Credit card/ATM fraud,White,11
Theft of mv parts,Unknown,27
Destruct/vandalism,Unknown,7630
Destruct/vandalism,American Indian/Alaska Native,14
Wire fraud,Black or African American,1
Arson,Unknown,91
Arson,Multi-Racial Group,1
Wire fraud,Unknown,5
Agg asslt,Multi-Racial Group,151
Purse-snatching,Unknown,4
Prostitution,Unknown,1
Burg/B & E,American Indian/Alaska Native,1
Theft from building,Multi-Racial Group,1
Bribery,White,1
Theft from building,Black or African American,13
Simple asslt,Native Hawaiian or other Pacific Islander,5
Stolen property offenses,Black or African American,2
Theft from coin-op machine,White,1
Impersonation,White,10
Burg/B & E,Black or African American,68
Counterfeit/forgery,Unknown,16
Robbery,American Indian/Alaska Native,9
Wire fraud,White,1
Theft from building,White,34
Sex asslt w/object,White,3
Assist prostitution,Black or African American,1
Counterfeit/forgery,Multi-Racial Group,1
All other larceny,White,163
All other larceny,Unknown,366
Burg/B & E,Multi-Racial Group,44
,,0
Drug equip violations,Unknown,3
Statutory rape,Unknown,1
Simple asslt,Multi-Racial Group,384
Fondling (Indecent Liberties/Child Molesting),Unknown,8
Pornography/obscene material,Unknown,3
False pretenses/swindle/conf game,Black or African American,7
Destruct/vandalism,White,1125
Agg asslt,Black or African American,791
Sodomy,Black or African American,2
Purchasing prostitution,White,1
Intimidation,American Indian/Alaska Native,28
Weapon law violations,Black or African American,5
Impersonation,Black or African American,3
Extort/blackmail,American Indian/Alaska Native,1
Simple asslt,Asian,88
Theft from motor vehicle,White,20
Shoplifting,White,91
Statutory rape,White,3
Shoplifting,Unknown,31
Drug/Narc violations,American Indian/Alaska Native,3
Extort/blackmail,White,5
Theft of mv parts,White,3
Kidnapping/abduction,White,11
Agg asslt,Asian,28
Drug/Narc violations,Unknown,18
Kidnapping/abduction,Unknown,4
Robbery,White,217
Murder/non-neg manslaughter,Multi-Racial Group,2
Arson,Asian,4
Drug equip violations,Black or African American,3
Motor vehicle theft,Unknown,61
All other larceny,Multi-Racial Group,4
Fondling (Indecent Liberties/Child Molesting),Asian,1
Destruct/vandalism,Multi-Racial Group,50
Arson,White,44
Embezzlement,Unknown,3
False pretenses/swindle/conf game,Unknown,29
Credit card/ATM fraud,Black or African American,4
Motor vehicle theft,Black or African American,6
Burg/B & E,White,144
Counterfeit/forgery,White,16
Destruct/vandalism,Native Hawaiian or other Pacific Islander,1
Embezzlement,White,14
Motor vehicle theft,White,20
Motor vehicle theft,American Indian/Alaska Native,2
Drug equip violations,Multi-Racial Group,1
Arson,American Indian/Alaska Native,1
Drug/Narc violations,Asian,2
Shoplifting,Multi-Racial Group,3
Robbery,Black or African American,263
Kidnapping/abduction,Black or African American,5
Rape,Unknown,11
Theft from building,Asian,1
Agg asslt,American Indian/Alaska Native,53
Negligent manslaughter,White,1
Rape,Multi-Racial Group,1
Theft from building,Unknown,73
Theft from coin-op machine,Unknown,3
Destruct/vandalism,Asian,16
Murder/non-neg manslaughter,Black or African American,5
Agg asslt,Unknown,332
Simple asslt,Unknown,1062
Theft from motor vehicle,American Indian/Alaska Native,1
Pocket-picking,Unknown,4
Counterfeit/forgery,Black or African American,3
Arson,Black or African American,12
Simple asslt,Black or African American,1704
Rape,White,29
Simple asslt,White,3517
False pretenses/swindle/conf game,White,22
Sodomy,Unknown,3
Intimidation,Native Hawaiian or other Pacific Islander,1
Credit card/ATM fraud,Unknown,31
Agg asslt,White,1826
Impersonation,American Indian/Alaska Native,1
Robbery,Unknown,86
Fondling (Indecent Liberties/Child Molesting),Black or African American,8
False pretenses/swindle/conf game,American Indian/Alaska Native,1
Destruct/vandalism,Black or African American,225
Drug/Narc violations,Multi-Racial Group,10
Burg/B & E,Asian,3
Intimidation,Multi-Racial Group,121
Stolen property offenses,White,13
Intimidation,Asian,63
Simple asslt,American Indian/Alaska Native,85
Theft from motor vehicle,Black or African American,4
Statutory rape,Black or African American,1
Weapon law violations,Unknown,12
Robbery,Multi-Racial Group,37
Theft from motor vehicle,Unknown,156
Burg/B & E,Unknown,456
All other larceny,Black or African American,55
Theft from motor vehicle,Multi-Racial Group,2
Drug equip violations,White,49
Shoplifting,Black or African American,31
Intimidation,Unknown,2089
Rape,Black or African American,15
Drug equip violations,American Indian/Alaska Native,1
Shoplifting,American Indian/Alaska Native,1
Intimidation,Black or African American,1057
Incest,White,1
Murder/non-neg manslaughter,White,13
Embezzlement,Black or African American,1
Agg asslt,Native Hawaiian or other Pacific Islander,1
Sodomy,White,6
Assist prostitution,Multi-Racial Group,1
Impersonation,Unknown,32
Theft of mv parts,Black or African American,1
Extort/blackmail,Unknown,6
Fondling (Indecent Liberties/Child Molesting),White,25
Pornography/obscene material,White,2
Weapon law violations,White,21
Drug/Narc violations,Black or African American,109
Robbery,Asian,5
Theft from building,American Indian/Alaska Native,1
Weapon law violations,American Indian/Alaska Native,1
